"","Date","Renta Fija Global","High Yiled","Renta Fija EM","S&P 500","Eurostoxx 500","MSCI EM","Materias Primas"
"1",2005-03-18,301.2433,496.8759,145.9396,1189.65,3053.54,564.03,286.605
"2",2005-03-21,300.9975,494.3484,144.6459,1183.79,3038.14,559.81,283.784
"3",2005-03-22,300.7714,492.1392,145.2945,1171.71,3050.44,557.28,282.463
"4",2005-03-23,300.4403,488.7936,142.7985,1172.53,3036.85,547.41,276.941
"5",2005-03-24,300.7798,488.4738,142.671,1171.42,3060.67,546.14,277.817
"6",2005-03-25,300.819,488.4738,142.729,1171.42,3060.67,548.44,277.817
"7",2005-03-28,300.7083,487.9181,140.9973,1174.28,3060.67,545.38,277.233
"8",2005-03-29,301.0478,487.1268,141.0085,1165.36,3069.35,538.63,278.957
"9",2005-03-30,301.4285,487.2397,142.3804,1181.41,3056.25,540.13,281.157
"10",2005-03-31,302.1499,487.4488,143.3612,1180.59,3055.73,548.69,284.012
"11",2005-04-01,302.4278,487.5111,143.6149,1172.92,3061.11,555.86,284.551
"12",2005-04-04,302.6366,486.3986,141.9136,1176.12,3042.17,550.39,282.684
"13",2005-04-05,302.3904,487.3561,141.9989,1181.39,3064.07,551,281.019
"14",2005-04-06,302.6238,489.4376,142.3711,1184.07,3076.23,553.59,281.238
"15",2005-04-07,302.7926,490.4208,143.2641,1191.14,3090.72,555.66,277.502
"16",2005-04-08,302.5054,490.0198,142.7839,1181.2,3088.92,555.44,274.781
"17",2005-04-11,302.8669,490.4503,143.8731,1181.21,3080.6,554.1,276.253
"18",2005-04-12,303.4267,490.2858,143.4954,1187.76,3065.18,552.83,273.064
"19",2005-04-13,303.5521,490.0468,144.1891,1173.79,3080.54,554.58,269.354
"20",2005-04-14,303.5907,487.0438,143.0163,1162.05,3075.33,543.55,268.974
"21",2005-04-15,304.2242,485.9953,143.1865,1142.62,3013.79,535.99,268.184
"22",2005-04-18,304.7033,485.8479,143.0471,1145.98,2947.79,526.39,266.624
"23",2005-04-19,305.1347,487.3178,143.456,1152.78,2957.37,533.07,273.259
"24",2005-04-20,305.1815,488.1156,144.518,1137.5,2944.33,534.11,275.43
"25",2005-04-21,304.7447,489.208,144.5406,1159.95,2950.34,535.58,275.065
"26",2005-04-22,304.9431,489.3309,144.5911,1152.12,2976.39,537.62,276.747
"27",2005-04-25,305.2055,488.7984,143.9746,1162.1,2987.05,540.31,276.841
"28",2005-04-26,305.2134,487.9315,144.1198,1151.74,2983.22,542.18,276.882
"29",2005-04-27,305.5402,486.8717,144.0379,1156.38,2942.62,537.57,270.602
"30",2005-04-28,305.9648,485.8215,142.948,1143.22,2930.87,531.23,269.509
"31",2005-04-29,305.9009,485.2175,143.2703,1156.85,2930.1,531.99,267.441
"32",2005-05-02,306.0205,485.8865,143.4386,1162.16,2949.09,533.61,267.99
"33",2005-05-03,306.1385,486.434,144.045,1161.17,2962.59,533.93,263.568
"34",2005-05-04,306.0263,487.9582,145.6535,1175.65,2981.04,542.89,264.607
"35",2005-05-05,306.3195,488.5018,146.5246,1172.63,3004.52,548.02,265.564
"36",2005-05-06,305.5152,487.1086,145.9564,1171.35,3019.26,550.78,265.881
"37",2005-05-09,305.5936,487.3134,145.4302,1178.84,3007.1,550.21,267.28
"38",2005-05-10,306.2004,486.7915,145.0623,1166.22,2983.42,547.23,268.232
"39",2005-05-11,306.5625,485.3659,144.829,1171.11,2970.5,543.33,266.203
"40",2005-05-12,306.6788,484.5458,144.3878,1159.36,2993.09,540.04,261.055
"41",2005-05-13,307.0318,483.3462,143.9501,1154.05,2994.52,537.3,259.006
"42",2005-05-16,306.9943,481.631,143.2998,1165.69,2988.16,536.59,257.986
"43",2005-05-17,307.0803,480.1897,143.2867,1173.8,2983.84,535.79,259.276
"44",2005-05-18,307.5178,481.803,143.8992,1185.56,3036.3,540.53,258.739
"45",2005-05-19,307.3169,483.5104,144.2536,1191.08,3051.79,545.81,257.155
"46",2005-05-20,307.0778,483.9885,143.4574,1189.28,3050.45,544.38,256.955
"47",2005-05-23,307.66,486.0136,143.599,1193.86,3070.98,542.91,259.747
"48",2005-05-24,308.1349,487.1238,143.3713,1194.07,3066.55,544.94,260.553
"49",2005-05-25,308.2452,488.9339,143.4924,1190.01,3059.84,543.31,263.758
"50",2005-05-26,308.0765,489.934,143.0514,1197.63,3086.08,544.15,264.603
"51",2005-05-27,307.983,490.7773,143.9522,1198.78,3084,550.5,265.272
"52",2005-05-30,308.0242,490.7773,143.7837,1198.78,3096.54,552.74,265.272
"53",2005-05-31,308.8826,491.4556,143.2589,1191.5,3076.7,548.15,265.365
"54",2005-06-01,309.7899,493.0556,142.938,1202.27,3125.88,546.59,270.82
