Date;IBEX;SXXP;Telefónica;BBVA;Iberdrola;Inditex
18/03/2005;9263.9;261.69;133.866;121.053;4.98;4.552
21/03/2005;9225.4;261.06;133.372;118.171;49.475;4.57
22/03/2005;9299.2;261.55;134.558;119.804;49.875;4.59
23/03/2005;9252.1;260.66;133.965;119.612;49.725;4.562
24/03/2005;9309.3;262.17;134.361;120.381;50.175;4.608
25/03/2005;9309.3;262.17;134.361;120.381;50.175;4.608
28/03/2005;9309.3;262.17;134.361;120.381;50.175;4.608
29/03/2005;9324.1;262.89;135.053;120.669;50.375;4.532
30/03/2005;9280.1;262.09;134.163;120.093;5.015;4.562
31/03/2005;9258.8;262.19;132.878;120.669;5.045;4.614
01/04/2005;9289.5;263.43;132.087;121.822;50.875;4.678
04/04/2005;9206;262.26;130.999;120.765;49.975;4.62
05/04/2005;9298.1;264.47;131.988;121.918;5.125;4.64
06/04/2005;9382.1;265.52;132.977;123.359;5.2;4.666
07/04/2005;9392.4;266.31;133.075;123.167;5.195;4.68
08/04/2005;9385.8;266.89;133.372;123.359;51.825;4.648
11/04/2005;9334.8;266.32;132.779;12.163;5.18;4.628
12/04/2005;9303.1;265.42;132.482;121.245;51.525;4.61
13/04/2005;9373.9;266.65;133.174;121.822;52.075;4.658
14/04/2005;9364.5;266.01;133.174;121.438;5.2;4.68
15/04/2005;9155.2;261.85;129.813;118.747;51.175;4.628
18/04/2005;9025.8;257.28;128.923;116.826;50.425;4.57
19/04/2005;9046.2;259.05;128.923;117.018;50.575;4.606
20/04/2005;9016.6;257.66;129.022;116.057;50.625;4.64
21/04/2005;9018.7;257.28;129.714;115.673;50.375;4.66
22/04/2005;9096.4;259.27;131.296;11.673;5.045;4.68
25/04/2005;9106.2;260.45;130.703;116.442;50.775;4.69
26/04/2005;9083.7;259.52;130.505;115.961;50.575;4.696
27/04/2005;8985;255.99;129.121;114.808;50.375;4.586
28/04/2005;8985.4;255.63;128.725;115.289;50.425;4.6
29/04/2005;9001.6;256.06;129.813;114.808;50.425;4.592
02/05/2005;9119.9;256.83;131.395;116.922;5.1;4.66
03/05/2005;9168.3;257.96;131.494;117.691;5.12;4.664
04/05/2005;9195.7;259.29;131.691;117.787;5.14;4.712
05/05/2005;9235.5;260.77;133.174;118.171;5.155;4.696
06/05/2005;9263.1;261.9;133.273;119.228;51.475;4.706
09/05/2005;9223.5;261.01;132.779;118.171;51.375;4.722
10/05/2005;9146.1;259.11;131.592;11.673;51.075;4.7
11/05/2005;9149.9;258.55;131.197;117.883;5.09;4.71
12/05/2005;9213.1;260.13;132.581;119.132;50.925;4.738
13/05/2005;9222.5;260.15;131.197;120.093;5.075;4.722
16/05/2005;9217.7;259.06;131.988;120.189;5.055;4.722
17/05/2005;9213.3;259.32;132.977;119.132;5.075;4.694
18/05/2005;9364.2;262.29;134.163;121.053;51.975;4.77
19/05/2005;9400.1;263.52;135.349;122.014;52.075;4.786
20/05/2005;9368.5;263.75;135.349;121.149;5.175;4.78
23/05/2005;9397;264.84;135.943;122.206;51.675;4.728
24/05/2005;9372.4;264.63;135.646;12.163;5.145;4.686
25/05/2005;9351.3;264.48;135.053;120.669;51.275;4.67
26/05/2005;9417.9;266.33;135.646;121.822;51.675;4.658
27/05/2005;9381.5;266.1;134.756;120.861;51.525;4.6
30/05/2005;9466.8;267.37;135.547;122.014;5.195;4.618
31/05/2005;9427.1;267.29;134.558;122.398;51.875;4.608
01/06/2005;9550.8;270.87;135.943;123.935;5.3;4.68
02/06/2005;9539.7;270.83;135.448;123.839;5.315;4.65
03/06/2005;9497.7;270.25;134.657;122.783;52.725;4.632
06/06/2005;9449.4;269.4;133.372;122.206;5.265;4.554
07/06/2005;9535.5;272.57;134.657;122.879;5.33;4.526
08/06/2005;9487.7;271.92;134.558;12.163;5.325;4.512
09/06/2005;9494;271.98;133.965;122.206;53.125;4.534
10/06/2005;9561.5;273.63;13.446;122.783;53.325;4.626
13/06/2005;9579.2;274.72;135.547;123.263;5.35;4.32
14/06/2005;9614.4;275.1;13.614;123.647;53.925;4.268
15/06/2005;9563.6;273.99;135.844;122.783;5.3;4.308
16/06/2005;9624.7;275.51;136.536;123.743;53.175;4.34
17/06/2005;9682.3;275.87;137.426;124.224;5.335;4.36
20/06/2005;9659.5;275.78;138.315;123.263;53.275;4.372
21/06/2005;9712.5;277.1;133.866;122.783;5.375;4.374
22/06/2005;9726.2;277.42;133.965;122.975;5.37;4.36
23/06/2005;9769.6;278.59;133.471;123.455;54.075;4.348
24/06/2005;9677.4;276.32;132.284;122.014;5.38;4.33
27/06/2005;9622.9;273.64;131.098;120.765;5.37;4.332
28/06/2005;9682.5;275.97;132.383;119.996;54.175;4.326
29/06/2005;9769.2;276.79;133.669;121.726;54.375;4.312
30/06/2005;9783.2;275.92;133.866;12.259;5.455;4.256
01/07/2005;9829.1;278.07;134.163;123.743;5.375;4.272
04/07/2005;9815;278.76;133.866;123.743;5.37;4.246
05/07/2005;9807.4;278.14;133.372;123.551;53.525;4.27
06/07/2005;9832.5;279.78;133.273;123.839;5.355;4.25
07/07/2005;9644.4;274.69;130.703;121.726;5.265;4.164
08/07/2005;9793.2;278.47;132.383;123.263;53.125;4.216
11/07/2005;9876.3;279.93;13.446;123.551;5.315;4.232
12/07/2005;9873.4;278.86;133.965;124.512;53.375;4.266
13/07/2005;9937.8;280.46;134.954;125.473;53.375;4.344
14/07/2005;9965.2;281.74;135.547;126.145;5.33;4.382
15/07/2005;9943.8;281.23;135.547;126.626;5.285;4.428
18/07/2005;9961;280.57;135.152;127.106;5.3;4.44
19/07/2005;10045;281.67;136.239;130.084;5.3;4.466
20/07/2005;10007;281.06;135.053;129.604;5.26;4.54
21/07/2005;10021.5;281.46;134.855;130.372;5.27;4.424
22/07/2005;10018.8;281.66;134.361;130.757;52.675;4.41
25/07/2005;10017.1;282.83;13.446;129.508;5.27;4.44
26/07/2005;10043.3;283;133.669;132.198;52.675;4.448
27/07/2005;10088.7;283.79;135.349;133.831;5.25;4.46
28/07/2005;10128.8;285.2;137.426;134.408;52.575;4.454
29/07/2005;10115.6;285.03;137.327;133.639;52.575;4.408
01/08/2005;10068.9;285.3;136.635;132.966;5.225;4.386
02/08/2005;10113.9;287.44;137.228;133.159;52.775;4.372
03/08/2005;10149.7;287.09;139.007;132.774;5.245;4.392
04/08/2005;10074.3;284.93;138.019;131.717;52.125;4.316
05/08/2005;10045.4;283.85;136.733;131.621;52.025;4.316
08/08/2005;10115.5;285.62;136.832;13.287;5.21;4.326
09/08/2005;10145.6;287.36;137.129;133.543;52.125;4.33
